,0
0,1086.6628018858898
1,56.83836147461459
2,47.44259764209555
3,40.56108697309747
4,36.82863100729469
5,32.98250605375924
6,34.21291478162745
7,34.18429624189382
8,31.537439638075924
9,33.87016597942447
10,35.52884491893799
11,29.579146594852592
12,29.836887391890144
13,31.88925070507113
14,32.09438971649572
15,31.11770873218393
16,27.30985287155075
17,31.21287086796903
18,27.614582205714576
19,27.343293355785814
20,26.111647601162236
21,25.03675244660789
22,23.824580207530705
23,18.945830785749713
24,20.685900006815473
25,15.569231670143052
26,15.654138424883126
27,14.719308709762322
28,13.477522963443239
29,12.314921490561748
30,11.471678123883363
31,10.735694314403274
32,11.27228178482194
33,10.463430942581008
34,10.318464678541195
35,9.557185420869864
36,11.254405587122646
37,9.339424914727346
38,8.052757779570547
39,8.554200561203375
40,9.305227675008325
41,9.275470768305912
42,10.07181186003119
43,8.33364637324588
44,8.762239614172332
45,8.248316347090023
46,8.252056746198823
47,6.725729743147588
48,7.9071955220196415
49,6.252406079885188
